title,address,commune,commune_encoded,district,district_encoded,province,province_encoded,paper,price_by_area,latitude,longitude
Bán Căn 2 ngủ 2 vệ sinh chung cư Mipec Kiến Hưng,"Đường Phúc La, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Phường Vạn Phúc,121,Quận Hà Đông,19,Hà Nội,0,0,23936170.0,20.9590566,105.790772
nhà tập thể Hào Nam tầng 2 có 2 PN,"Đường vũ thạnh, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Phường Ô Chợ Dừa,131,Quận Đống Đa,24,Hà Nội,0,1,35000000.0,21.0267288,105.8260358
Chung cư Quận Nam Từ Liêm 198m² 4PN,"28, 28 Đường Trần Bình, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",Phường Mỹ Đình 2,49,Quận Nam Từ Liêm,21,Hà Nội,0,1,151515.0,21.0302452,105.7741174
Chung cư TSG Lotus Sài Đồng 83m² 3PN,"190 Phố Sài Đồng, phường Việt Hưng, quận Long Biên, Tp.Hà Nội, Phường Việt Hưng, Quận Long Biên, Hà Nội",Phường Việt Hưng,114,Quận Long Biên,20,Hà Nội,0,1,28397590.0,21.0509183,105.89595
Chung cư Quận Hà Đông 70m² 2 PN,"Đường Phúc La, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Phường Vạn Phúc,121,Quận Hà Đông,19,Hà Nội,0,0,23857143.0,20.9590566,105.790772
Chung cư Vinhomes Smart City 55m² 2PN,"Đường Đại lộ Thăng Long, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Phường Tây Mỗ,110,Quận Nam Từ Liêm,21,Hà Nội,0,1,45454545.0,21.0095457,105.7439913
Chính chủ bán căn hộ chung cư 2PN 76m2 tầng 2,"Đường Ngô Gia Tự, Phường Đức Giang, Quận Long Biên, Hà Nội",Phường Đức Giang,141,Quận Long Biên,20,Hà Nội,0,1,19736842.0,21.0655992,105.8979284
Chính chủ bán căn hộ chung cư Homeland CÓ FIX,"Đường 5, Phường Thượng Thanh, Quận Long Biên, Hà Nội",Phường Thượng Thanh,93,Quận Long Biên,20,Hà Nội,0,1,30342436.0,21.0636926,105.8818656
Chuyển nhà em cần bán căn 51m (full đồ) tại Mipec,"Đường Phúc La, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Phường Vạn Phúc,121,Quận Hà Đông,19,Hà Nội,0,1,490196.0,20.9590566,105.790772
Bán nhà tập thể Hồng hà ngõ 190 phố Lò đúc tâng 4,"Đường Lò Đúc, Phường Đống Mác, Quận Hai Bà Trưng, Hà Nội",Phường Đống Mác,137,Quận Hai Bà Trưng,16,Hà Nội,0,0,16000000.0,21.0114769,105.859342
Chỉ 300tr sở hữu căn hộ cao cấp Vinhome Smartcity,"Đường Đại lộ Thăng Long, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Phường Tây Mỗ,110,Quận Nam Từ Liêm,21,Hà Nội,0,0,25757576.0,21.0095457,105.7439913
Chung cư Quận Hoàng Mai 98m² 3PN,"32, Đường Đại Từ, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Phường Đại Kim,134,Quận Hoàng Mai,18,Hà Nội,0,1,33673469.0,20.973143,105.8358879
"Bán căn góc 130m² 1,850 tỷ tại La Khê Hà Đông","Đường Văn Khê, Phường La Khê, Quận Hà Đông, Hà Nội",Phường La Khê,34,Quận Hà Đông,19,Hà Nội,0,1,14230769.0,20.9737221,105.7629924
CCMN 7 tầng siêu rẻ gần trung tâm,"702, Đường Trần Cung, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Phường Cổ Nhuế 1,10,Quận Bắc Từ Liêm,14,Hà Nội,0,0,17441860.0,21.0586141,105.7832991
Chỉ 222tr sở hữu căn hộ Vinhomes Ocean Park,"Lý Thánh Tông, Xã Kiêu Kỵ, Huyện Gia Lâm, Hà Nội",Xã Kiêu Kỵ,158,Huyện Gia Lâm,2,Hà Nội,0,0,40000000.0,20.9991834,105.9368988
Chung cư Quận Hoàng Mai 52m² 2PN 2VS,"Số 1, Đường Trần Thủ Độ, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Phường Hoàng Liệt,19,Quận Hoàng Mai,18,Hà Nội,0,0,31730769.0,20.9647702,105.8454281
chính chủ cần bán căn 3pn 98m2 imperisky garden,"Số 423, Số 423 Đường Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",Phường Vĩnh Tuy,120,Quận Hai Bà Trưng,16,Hà Nội,0,1,40857143.0,20.9979896,105.8666987
"Cần bán nhanh căn 2N1WC full nội thất giá 2,1 tỷ","Đường Đại lộ Thăng Long, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Phường Tây Mỗ,110,Quận Nam Từ Liêm,21,Hà Nội,0,0,38888889.0,21.0095457,105.7439913
Các bác chỉ cần phải trả trước 50% giá trị căn hộ,"Đường Quốc lộ 32, Xã Kim Chung, Huyện Hoài Đức, Hà Nội",Xã Kim Chung,157,Huyện Hoài Đức,3,Hà Nội,0,0,14285714.0,21.0623667,105.7209301
"Căn 2PN 47m2 Ecohome, Q. Bắc Từ Liêm, HN","tầng 26 căn 20 Ecohome 3, Tân Xuân, Phường Đông Ngạc, Quận Bắc Từ Liêm, Hà Nội",Phường Đông Ngạc,133,Quận Bắc Từ Liêm,14,Hà Nội,0,0,553191.0,21.0836636,105.7842861
Chung cư cao cấp Hyundai Hillstate,"Đường Tô Hiệu, Phường Hà Cầu, Quận Hà Đông, Hà Nội",Phường Hà Cầu,21,Quận Hà Đông,19,Hà Nội,0,1,31372549.0,20.9670276,105.7778202
Căn Hộ 2PN 2WC 61.56m2 Chung Cư Xuân Mai Complex,"Tòa F Chung Cư Xuân Mai Complex, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Phường Yên Nghĩa,127,Quận Hà Đông,19,Hà Nội,0,1,21929825.0,20.9613802,105.740096
Chính chủ bán gấp căn hộ CC -1Pk-1Pn Giá chỉ 755tr,"ngõ 72 Nguyễn Trãi, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Phường Nhân Chính,61,Quận Thanh Xuân,22,Hà Nội,0,0,22205882.0,21.0035738,105.8166274
